holidays:7
u.s. presidents:66
explorers:12
leading ladies:1
presidents:19
the olympics:10
colonial america:4
fashion:1
the western hemisphere:10
poetry:13
the oscars:36
famous names:31
u.s. states:26
chemistry:1
films of the '40s:1
authors:44
islands:26
political quotes:1
the nobel prize:13
u.s. government:19
great britain:1
world leaders:35
historic last lines:1
bodies of water:12
movie stars:2
u.s. coins:2
monarchs:18
slang:1
women in politics:3
mountains:7
fictional characters:22
titled heads:2
the zodiac:1
literature:17
world cities:17
money:4
the 50 states:20
children's literature:13
american history:27
americana:27
american poets:2
the cabinet:13
london landmarks:2
the u.s. congress:2
world geography:28
best sellers:6
famous women:19
legends:1
world capitals:31
vocabulary:6
television:20
mythology:8
american literature:23
u.s. cities:27
the bible:15
shakespeare:18
disney feature films:1
the united nations:8
publishing:4
state capitals:49
countries of the world:28
sculpture:5
word origins:48
films of the '50s:1
boxing:1
historic names:28
in the news:11
the calendar:12
u.s. politics:7
communications:2
the census:3
vice presidents:14
unreal estate:1
rivers:8
u.s. history:19
the solar system:8
man in space:5
the post office:2
languages:10
the movies:15
awards:11
texas:1
holidays & observances:7
anagrams:3
geography:12
plays:10
organizations:21
business & industry:35
ancient times:3
disney:1
directors:3
american authors:21
royalty:16
europe:9
punctuation:1
politics:2
landmarks:22
the revolutionary war:3
astronomy:11
american novels:5
ancient history:4
government:4
british royalty:9
world trade:2
world history:13
shakespearean title characters:1
american poetry:4
literary characters:14
colleges & universities:15
actors & their roles:3
canada:4
cable television:3
the roaring '20s:1
u.s. geography:14
magazines:9
13-letter words:1
playwrights:14
architecture:2
the senate:1
composers:14
national anthems:6
medicine:6
the supreme court:14
scientists:15
british history:6
minerals:1
republicans:7
presidential elections:18
early man:2
sports:13
autobiographies:3
19th century americans:5
the common market:1
space exploration:6
travel & tourism:8
novel characters:2
mathematics:1
proverbs:2
women in history:5
pop music:10
the 1950s:3
quotes:2
actresses:8
20th century europe:1
kingdoms:1
poets:16
the pulitzer prize:1
business & finance:1
ancient literature:1
transportation:10
actresses & their roles:2
south africa:2
african americans:2
song standards:1
theatre:3
movie musicals:1
the statue of liberty:1
women authors:9
20th century vice presidents:2
the u.s.a.:2
myths & legends:4
international organizations:4
artists:19
american stories:1
food & drink:9
famous scientists:3
ships:2
psychology:5
entertainers of the past:1
religious groups:2
word & phrase origins:5
operettas:2
poland:1
the auto industry:1
newspapers:5
world drama:2
presidents' homes:1
roman emperors:3
anatomy:3
u.s. lakes:2
political leaders:1
opera:12
military leaders:1
19th century america:8
notable names:8
the tony awards:5
ancient rome:2
men of science:3
port cities:2
south america:10
gods & goddesses:1
u.s. rivers:2
american musicals:1
presidential inaugurations:3
women:2
philanthropy:2
famous authors:2
the great lakes:2
flowers:2
horses:2
the armed services:2
billionaires:1
pulitzer prize winners:2
political quotations:2
classical literature:2
comedians:2
literary terms:1
historic frenchmen:1
nonfiction:4
20th century leaders:8
1990s geography:1
women playwrights:1
politicians:10
ethnic groups:1
inventors:13
the kennedy center honors:1
famous pairs:4
old radio:1
museums:8
women in sports:4
art history:5
1994:1
u.s. landmarks:7
declaration of independence:1
famous ships:6
african landmarks:1
names in the news:7
democrats:4
american political terms:1
american artists:3
etymology:3
english literature:6
ancient egypt:1
20th century presidents:3
the winter olympics:3
shakespeare & film:1
the declaration of independence:2
literary operas:1
famous plays:2
notorious:6
educators:1
naturalists:1
rulers:6
notable women:10
next in line:1
u.s. currency:4
primates:1
business & literature:1
france:3
20th century presidential elections:3
the elements:6
sculptors:2
bestselling novelists:1
ethics:1
u.s. airports:1
british authors:8
historic quotes:5
famous musicians:1
architects:3
historic people:7
historic documents:4
oscar-winning actors:3
i love lucy:1
sports nicknames:2
medical firsts:1
disney films:3
historians:1
england:1
u.s.a.:3
congress:2
british monarchs:4
20th century americans:8
children's theatre:1
foreign directors:1
u.s. city name origins:2
famous teachers:1
foreign wars:1
saints:1
the constitution:4
european drama:1
the u.n.:1
world magazines:1
asia:8
adventurers:2
u.s. state names:3
opera premieres:1
designers:1
nature:4
spain:1
pop singers:2
television history:5
recent history:2
religion:13
american fictional characters:1
film directors:3
movies:4
senators:1
facts & figures:2
statesmen:1
greek mythological groups:1
actor-directors:3
19th century authors:6
the continents:3
15th century men:1
historic books:2
american universities:1
art:4
sports stars:6
world politics:5
business and industry:1
airplanes:1
french novelists:2
great artists:1
publishing firsts:1
patron saints:4
the midwest:2
textbooks:1
short stories:3
english royalty:2
"number, please:1"
baseball:3
british novels:5
famous americans:28
brand names:7
european capitals:5
political phrases:1
women in science:1
oscar nominees:5
assassins:1
benjamin franklin:1
the 1500s:1
the democratic national convention:1
the western u.s.:3
canadian provinces:1
foreign films:2
the 1996 election:1
national parks:4
the new testament:4
historic geography:4
native americans:2
novels:8
historic americans:16
famous families:3
handicrafts:1
british statesmen:1
inventions:9
flags:7
scottish inventors:1
entertainment history:2
advertising:5
journalists:2
oscar winners:4
historic ships:1
science:8
ancient cities:2
films of the '30s:1
secretaries of state:4
trinidadian amateur ichthyologists:1
international songs:1
german opera:1
mystery novels:1
word history:8
naval heroes:2
airports:1
the world of mathematics:1
contemporary americans:3
the insect world:1
quotations about lawyers:1
science history:5
the 7 ancient wonders:2
ancient playwrights:1
royal couples:1
painters:1
children's books:1
the law:2
the civil rights movement:1
genesis:1
oscar-winning films:2
musicians:1
african countries:3
shakespeare's women:3
angels:1
american ballet:1
endangered species list:1
stock symbols:1
africa:13
fashion history:2
the 1930s:3
classic cinema:2
1990s africa:1
the planets:5
government officials:1
19th century politics:4
southern cities:1
religious leaders:1
historic u.s. sites:1
shakespearean characters:2
the cold war:2
detective stories:1
familiar phrases:6
u.s. stamps:3
wall street:2
law enforcement:1
new england colonists:1
1997 films:1
language:1
food & drink history:2
19th century fiction:1
religious titles:1
battles:1
silent movies:1
bestsellers:3
20th century novelists:2
congressmen:1
movie actresses:1
u.s. justice:1
modern u.s. history:1
military news:1
famous buildings:4
20th century politicians:3
same last names:1
halloween:1
cartoon characters:3
18th century in the news:1
shopping u.s.a.:1
toys:6
famous speeches:2
political connections:1
southern novelists:1
candy:3
20th century history:3
political anagrams:1
17th century literature:1
halls of fame:1
food:4
16th century explorers:1
african wildlife:1
world war ii:4
hollywood history:2
foreign airlines:1
in the news 1882:1
journalism:1
food history:2
in the news 1997:1
economists:1
biology:1
tv & movie settings:1
place name origins:1
synthetics:1
libraries:2
animals of the new world:1
greek mythology:6
movie history:3
legal eagles:1
asian nations:3
the smithsonian:1
the academy awards:11
u.s. statesmen:2
european cities:4
popular fiction:2
1990s trends:1
pop stars:3
the caribbean:3
famous voyages:1
television biographies:1
tv sitcoms:1
world of business:1
scientific discoveries:2
epitaphs:2
transportation history:1
medieval drama:1
holy days:1
modern artists:1
20th century personalities:3
broadcasting:2
finance history:1
singers:7
famous structures:1
aviation:1
april 1 in history:1
the 20th century:6
children's books & authors:1
actors & their films:1
cable tv:1
in the kitchen:1
retail:1
the americas:1
volcanoes:3
world business:1
medicine 1998:1
entertainers:5
actresses & role:1
