animals:484
actors & roles:75
lakes & rivers:202
inventions:113
foreign cuisine:18
notorious:124
weights & measures:303
the bible:429
national landmarks:5
'50's tv:4
holidays:74
"""b"" movies:29"
geography:352
"""jacks"" of all trades:5"
double talk:167
ships:92
sports:539
literature:672
tourist traps:5
1789:5
labor unions:41
homonyms:29
tv trivia:121
u.s. presidents:262
people:384
19th century america:241
mother goose:48
food & drink:315
automobiles:53
fine china:20
tough trivia:13
constellations:67
shakespeare:406
the 50 states:146
w w ii:8
broadway songs:20
explorers:279
if it's tuesday...:10
rhyme time:364
knitting:8
games:115
transportation:500
music:351
"starts with ""w"":15"
presidential trivia:106
rhode island:7
stores:6
leading ladies:6
travel & tourism:272
new testament:22
name changes:24
10-letter words:205
american heroes & legends:5
fruits & vegetables:244
art:482
gambling:58
modern literature:9
history:572
bermuda:5
gilbert & sullivan:35
presidents:172
song:5
women:102
kid stuff:14
1984:46
wine:69
hollywood marriages:10
fictional characters:329
"""god""ly things:5"
world history:557
weather:165
the olympics:107
word origins:558
alliterative names:10
"what the ""l"":10"
meat:14
tv guide says:55
20th century personalities:23
biology:332
myths & legends:94
plays:91
europe:181
business biggies:38
celebrity romances:5
colonial america:123
chocolate:30
anagrams:156
u.s. cities:506
royalty:150
sports quotes:33
presidential astrology:10
literary classics:16
languages:419
rivers:147
foreign films:32
recent history:42
fashion:236
rhyming pairs:5
broadway lyrics:82
plastics:10
hispanic america:10
idaho:1
authors:419
names in the news:37
world travel:83
fashion history:81
arctic animals:19
revolutionary war:6
the western hemisphere:62
by the numbers:87
movie trivia:98
candy:23
the planets:105
golden oldies:34
novel characters:46
4-letter words:268
alphabetically first:61
the white house:49
californians:4
military history:25
poetry:208
artists:212
american indians:103
salads:8
scientists:242
columbia:15
the 20th century:220
lincoln speaks:5
law:83
first novels:52
"the 3 ""b""s:5"
the oscars:141
ants:19
vocabulary:233
historic quotes:55
uncles:5
perfume:33
1952:15
world geography:522
flowers & trees:12
sports in film:4
famous names:232
american revolution:31
country crooners:19
mortal matters:55
football:75
science:800
actresses & roles:10
egypt:29
aviation:111
in the dictionary:281
poets:104
u.s. states:252
political quotes:44
alphabet soup:31
show biz biographies:7
salad:20
'60s songs:25
world war ii:130
bridges:89
potent potables:273
women writers:57
chemistry:254
first ladies:274
food:405
'50s tv:40
familiar phrases:214
folk songs:23
fairy tales:33
facts & figures:122
first lines:26
flying machines:4
"""f"" in biology:6"
films of the '40s:26
minnesota:19
sports trivia:53
american history:676
actors & actresses:187
eggs:10
"starts with ""o"":5"
einstein:5
world religion:114
softball:5
biographies:118
dancers:25
colleges & universities:481
hall & oates:3
opera:388
u.s. history:427
all numbers:5
transportation in films:4
the revolutionary war:52
songs of the '70s:10
by zeus:5
bottoms up:44
beauty queens:21
actors onstage:19
composers:294
"""robert""s:5"
rocks & minerals:114
islands:416
new york city:48
parts of speech:42
water:13
business:59
"""tower""s:5"
vitamins & minerals:6
american literature:320
famous women:144
the middle ages:159
world capitals:432
tv cops:24
"""a.c.""/""d.c."":7"
chickens:5
furniture:152
